sentence_id,line_no,sample_id,source,difficulty,sentence_type,difficulty_score,gold_status,selection_tags,raw_text,gold,char_len,gold_word_count,split,split_role,review_flags,notes,participant_count,sentence_avg_word_f1,sentence_avg_boundary_f1,sentence_exact_match_rate,discrimination_index
11,11,nlpcc_dev_806,NLPCC-Weibo,medium,mixed_script,52.23,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,受益于券商加杠杆和经济数据，A股早盘高开高走，沪指涨1.82%，深成指涨2.08%，创业板涨2.67%。,受益于 / 券商 / 加 / 杠杆 / 和 / 经济 / 数据 / ， / A股 / 早盘 / 高开 / 高走 / ， / 沪指 / 涨 / 1.82% / ， / 深成指 / 涨 / 2.08% / ， / 创业板 / 涨 / 2.67% / 。,52,25,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.487721,0.724967,0.0,0.403806
12,12,nlpcc_dev_847,NLPCC-Weibo,medium,mixed_script,52.23,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,今年1月4日权威人士专访发布当天，沪指暴跌6.86%，深成指跌8.20%。,今年 / 1月 / 4日 / 权威 / 人士 / 专访 / 发布 / 当天 / ， / 沪指 / 暴跌 / 6.86% / ， / 深成指 / 跌 / 8.20% / 。,37,17,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.578807,0.757618,0.009615,0.446582
13,13,nlpcc_dev_1188,NLPCC-Weibo,medium,mixed_script,52.04,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,它机身重量仅131克，一边厚一边薄，最薄处仅为3.4mm，内置重力感应，左手和右手可随意切换，配备充电保护套，续航长达数月，售价2399元......书迷们，会买吗？,它 / 机身 / 重量 / 仅 / 131 / 克 / ， / 一边 / 厚 / 一边 / 薄 / ， / 最 / 薄 / 处 / 仅 / 为 / 3.4mm / ， / 内置 / 重力 / 感应 / ， / 左手 / 和 / 右手 / 可 / 随意 / 切换 / ， / 配备 / 充电 / 保护套 / ， / 续航 / 长达 / 数月 / ， / 售价 / 2399 / 元 / . / . / . / . / . / . / 书迷们 / ， / 会 / 买 / 吗 / ？,83,53,dev,platform_eval_v2_draft,very_long,Competition data with standard train/dev/test split.,104,0.693553,0.826296,0.0,0.388637
14,14,nlpcc_dev_1623,NLPCC-Weibo,medium,mixed_script,52.03,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,市民如有任何疑问，可拨打燃气公司24小时客户服务热线25199999咨询。,市民 / 如 / 有 / 任何 / 疑问 / ， / 可 / 拨打 / 燃气 / 公司 / 24小时 / 客户 / 服务 / 热线 / 25199999 / 咨询 / 。,37,17,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.722342,0.850495,0.019231,0.455283
15,15,nlpcc_dev_62,NLPCC-Weibo,medium,mixed_script,51.63,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,勇士斯贝茨拿到全队最高的22分，利文斯顿16分，汤普森20中7，三分7投全失得到17分8板，格林9分7板7助7失误如同隐形人；,勇士 / 斯贝茨 / 拿到 / 全队 / 最 / 高 / 的 / 22 / 分 / ， / 利文斯顿 / 16 / 分 / ， / 汤普森 / 20 / 中 / 7 / ， / 三分 / 7 / 投 / 全失 / 得到 / 17 / 分 / 8 / 板 / ， / 格林 / 9 / 分 / 7 / 板 / 7 / 助 / 7 / 失误 / 如同 / 隐形人 / ；,63,41,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.559494,0.794406,0.0,0.502682
16,16,nlpcc_dev_1671,NLPCC-Weibo,medium,mixed_script,51.57,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,截至2016年2月，最高人民法院律师服务平台已经收集律师事务所信息21846家，录入律师信息77428条。,截至 / 2016年 / 2月 / ， / 最高 / 人民 / 法院 / 律师 / 服务 / 平台 / 已经 / 收集 / 律师 / 事务所 / 信息 / 21846 / 家 / ， / 录入 / 律师 / 信息 / 77428 / 条 / 。,53,24,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.678164,0.826859,0.0,0.438387
17,17,nlpcc_dev_1819,NLPCC-Weibo,medium,mixed_script,51.48,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,当地时间2016年4月9日，俄罗斯索契，参与者穿比基尼在RozaKhutor高山度假胜地滑雪，欲破最多人穿比基尼滑雪世界纪录。,当地 / 时间 / 2016年 / 4月 / 9日 / ， / 俄罗斯 / 索契 / ， / 参与者 / 穿 / 比基尼 / 在 / RozaKhutor / 高山 / 度假 / 胜地 / 滑雪 / ， / 欲 / 破 / 最 / 多 / 人 / 穿 / 比基尼 / 滑雪 / 世界 / 纪录 / 。,63,30,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.597132,0.779995,0.009615,0.413713
18,18,nlpcc_dev_1846,NLPCC-Weibo,medium,mixed_script,51.39,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,中国4月外汇储备32190亿美元，高于预期，较前值32126亿美元小幅上升，为连续第二个月回升，也是2014年6月以来首次出现连续两个月环比上升。,中国 / 4月 / 外汇 / 储备 / 32190亿 / 美元 / ， / 高于 / 预期 / ， / 较 / 前值 / 32126亿 / 美元 / 小幅 / 上升 / ， / 为 / 连续 / 第二 / 个 / 月 / 回升 / ， / 也 / 是 / 2014年 / 6月 / 以来 / 首次 / 出现 / 连续 / 两 / 个 / 月 / 环比 / 上升 / 。,73,38,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.684862,0.844117,0.0,0.458373
19,19,nlpcc_dev_1541,NLPCC-Weibo,medium,mixed_script,50.6,confirmed,modern|microblog|sentence_level|oov_heavy|mixed_script|latin|social_marker,【Boss直聘诉拉勾网：网络招聘缠斗加剧】,【 / Boss / 直聘 / 诉 / 拉勾网 / ： / 网络 / 招聘 / 缠斗 / 加剧 / 】,21,11,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.606527,0.753918,0.009615,0.474769
20,20,nlpcc_dev_1149,NLPCC-Weibo,medium,mixed_script,50.46,confirmed,modern|microblog|sentence_level|mixed_script|digits|social_marker,【床上最多有200万只尘螨，学会5招除螨】,【 / 床上 / 最多 / 有 / 200万 / 只 / 尘螨 / ， / 学会 / 5 / 招 / 除螨 / 】,21,13,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.509801,0.74704,0.009615,0.439421
21,21,nlpcc_dev_95,NLPCC-Weibo,medium,mixed_script,50.4,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|social_marker,【苹果股价降至2年来最低：等iPhone7或苹果汽车来拯救】,【 / 苹果 / 股价 / 降至 / 2 / 年 / 来 / 最低 / ： / 等 / iPhone7 / 或 / 苹果 / 汽车 / 来 / 拯救 / 】,30,17,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.69621,0.826993,0.0,0.48549
22,22,nlpcc_dev_1531,NLPCC-Weibo,medium,mixed_script,50.39,confirmed,modern|microblog|sentence_level|mixed_script|latin|social_marker,@阮經天共同拍摄了《@iLady优家画报》第一个双人封面。,@ / 阮經天 / 共同 / 拍摄 / 了 / 《 / @ / iLady / 优家 / 画报 / 》 / 第一 / 个 / 双人 / 封面 / 。,29,16,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.676244,0.818205,0.0,0.408988
23,23,nlpcc_dev_1396,NLPCC-Weibo,medium,mixed_script,50.32,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,公牛方面，巴特勒21分6助攻，加索尔11分12篮板，罗斯10分，米罗蒂奇13分6篮板，公牛尚存进季后的一线希望。,公牛 / 方面 / ， / 巴特勒 / 21 / 分 / 6 / 助攻 / ， / 加索尔 / 11 / 分 / 12 / 篮板 / ， / 罗斯 / 10 / 分 / ， / 米罗蒂奇 / 13 / 分 / 6 / 篮板 / ， / 公牛 / 尚 / 存 / 进 / 季后 / 的 / 一 / 线 / 希望 / 。,56,35,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.666974,0.837308,0.009615,0.413232
24,24,nlpcc_dev_179,NLPCC-Weibo,medium,mixed_script,50.32,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,从2014年开始，这位在Google工作了十年的产品市场经理，头衔转变为了Google科学挑战赛的全球项目经理。,从 / 2014年 / 开始 / ， / 这 / 位 / 在 / Google / 工作 / 了 / 十 / 年 / 的 / 产品 / 市场 / 经理 / ， / 头衔 / 转变 / 为 / 了 / Google / 科学 / 挑战赛 / 的 / 全球 / 项目 / 经理 / 。,56,29,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.7142,0.848868,0.009615,0.404865
25,25,nlpcc_dev_433,NLPCC-Weibo,medium,mixed_script,50.09,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,万达院线5月6日晚间公告，2016年4月，公司实现票房收入（含境外）5.4亿元，观影人次1393万人次。,万达 / 院线 / 5月 / 6日 / 晚间 / 公告 / ， / 2016年 / 4月 / ， / 公司 / 实现 / 票房 / 收入 / （ / 含 / 境外 / ） / 5.4亿 / 元 / ， / 观影 / 人次 / 1393万 / 人次 / 。,52,26,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.662613,0.821751,0.038462,0.457291
26,26,nlpcc_dev_940,NLPCC-Weibo,medium,mixed_script,49.86,confirmed,modern|microblog|sentence_level|oov_heavy|mixed_script|social_marker,纸盒里打滚儿的小萌喵~(｡･∀･)ﾉﾞ嗨！,纸盒 / 里 / 打滚儿 / 的 / 小萌喵 / ~(｡･∀･)ﾉﾞ / 嗨 / ！,21,8,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.425678,0.593677,0.0,0.358884
27,27,nlpcc_dev_503,NLPCC-Weibo,medium,mixed_script,49.62,confirmed,modern|microblog|sentence_level|mixed_script|digits|social_marker,【收到“建设银行”“10086”“奔跑吧兄弟”短信，可长个心！】,【 / 收到 / “ / 建设银行 / ” / “ / 10086 / ” / “ / 奔跑吧兄弟 / ” / 短信 / ， / 可 / 长 / 个 / 心 / ！ / 】,32,19,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.691277,0.833186,0.009615,0.399622
28,28,nlpcc_dev_97,NLPCC-Weibo,medium,mixed_script,49.47,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|social_marker,【被遗忘的天才：他在1957年制造出第一台VR机器】,【 / 被 / 遗忘 / 的 / 天才 / ： / 他 / 在 / 1957年 / 制造 / 出 / 第一 / 台 / VR / 机器 / 】,26,16,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.791581,0.885094,0.105769,0.39968
29,29,nlpcc_dev_388,NLPCC-Weibo,medium,mixed_script,49.45,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,与预期一样的是，从本届广交会首日采购商到会数据来看，虽然全世界合计43306人，比上届增加2673人。,与 / 预期 / 一样 / 的 / 是 / ， / 从 / 本届 / 广交会 / 首日 / 采购商 / 到会 / 数据 / 来 / 看 / ， / 虽然 / 全世界 / 合计 / 43306 / 人 / ， / 比 / 上届 / 增加 / 2673 / 人 / 。,51,28,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.746896,0.865157,0.019231,0.385957
30,30,nlpcc_dev_9,NLPCC-Weibo,medium,mixed_script,49.32,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,"今年3月，北京市高级人民法院裁定拥有“iPhone”第18类商标权，也就是说，新通天地公司仍旧可以在中国继续生产销售带有""iPhone""商标的产品。","今年 / 3月 / ， / 北京市 / 高级 / 人民 / 法院 / 裁定 / 拥有 / “ / iPhone / ” / 第18 / 类 / 商标权 / ， / 也 / 就 / 是 / 说 / ， / 新通天地 / 公司 / 仍旧 / 可以 / 在 / 中国 / 继续 / 生产 / 销售 / 带有 / "" / iPhone / "" / 商标 / 的 / 产品 / 。",74,38,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.627127,0.766701,0.0,0.456907
31,31,nlpcc_dev_1386,NLPCC-Weibo,medium,mixed_script,49.31,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,据统计，截至15时，全市交警拦截检查临牌车辆1633辆次，查获外地临牌闯禁令196起、临牌失效11起、涉嫌用假临牌3起、不按规定粘贴临牌265起，暂扣车辆25辆。,据 / 统计 / ， / 截至 / 15时 / ， / 全市 / 交警 / 拦截 / 检查 / 临牌 / 车辆 / 1633 / 辆次 / ， / 查获 / 外地 / 临牌 / 闯 / 禁令 / 196 / 起 / 、 / 临牌 / 失效 / 11 / 起 / 、 / 涉嫌 / 用 / 假 / 临牌 / 3 / 起 / 、 / 不 / 按 / 规定 / 粘贴 / 临牌 / 265 / 起 / ， / 暂扣 / 车辆 / 25 / 辆 / 。,81,48,dev,platform_eval_v2_draft,very_long,Competition data with standard train/dev/test split.,104,0.748168,0.877755,0.0,0.366994
32,32,nlpcc_dev_1547,NLPCC-Weibo,medium,mixed_script,49.27,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,乐视网今日晚间发布公告，乐视网拟向乐视影业股东以每股41.37元人民币发行1.65亿股，并支付现金29.79亿元人民币，共计作价98亿元人民币，购入乐视影业全部股权。,乐视网 / 今日 / 晚间 / 发布 / 公告 / ， / 乐视网 / 拟 / 向 / 乐视 / 影业 / 股东 / 以 / 每 / 股 / 41.37 / 元 / 人民币 / 发行 / 1.65亿 / 股 / ， / 并 / 支付 / 现金 / 29.79亿 / 元 / 人民币 / ， / 共 / 计 / 作价 / 98亿 / 元 / 人民币 / ， / 购入 / 乐视 / 影业 / 全部 / 股权 / 。,83,42,dev,platform_eval_v2_draft,very_long,Competition data with standard train/dev/test split.,104,0.667578,0.818748,0.0,0.43909
33,33,nlpcc_dev_1291,NLPCC-Weibo,medium,mixed_script,49.16,confirmed,modern|microblog|sentence_level|oov_heavy|mixed_script|digits|social_marker,【颤抖的痛苦：我国帕金森患者或超250万】,【 / 颤抖 / 的 / 痛苦 / ： / 我国 / 帕金森 / 患者 / 或 / 超 / 250万 / 】,21,12,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.757475,0.860864,0.105769,0.437606
34,34,nlpcc_dev_1666,NLPCC-Weibo,medium,mixed_script,49.05,confirmed,modern|microblog|sentence_level|mixed_script|digits|social_marker,【高分纪录片《碟碟相传》（2013）】,【 / 高分 / 纪录片 / 《 / 碟碟 / 相传 / 》 / （ / 2013 / ） / 】,19,11,dev,platform_eval_v2_draft,mixed_script,Competition data with standard train/dev/test split.,104,0.695959,0.831478,0.048077,0.48182
35,35,nlpcc_dev_985,NLPCC-Weibo,medium,mixed_script,49.02,confirmed,modern|microblog|sentence_level|mixed_script|digits|social_marker,【3500吨科考船下水将成海洋科考新主力】,【 / 3500 / 吨 / 科考船 / 下水 / 将成 / 海洋 / 科考 / 新 / 主力 / 】,21,11,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.579466,0.772693,0.038462,0.525782
36,36,nlpcc_dev_275,NLPCC-Weibo,medium,mixed_script,48.95,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,受弱冷空气影响，气温下降明显，13时45分中心城区徐家汇站19.3℃（昨日同期29℃），体感与昨日大不同，注意调整穿着。,受 / 弱冷空气 / 影响 / ， / 气温 / 下降 / 明显 / ， / 13时 / 45分 / 中心 / 城区 / 徐家汇 / 站 / 19.3 / ℃ / （ / 昨日 / 同期 / 29 / ℃ / ） / ， / 体感 / 与 / 昨日 / 大不同 / ， / 注意 / 调整 / 穿着 / 。,60,32,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.662821,0.833663,0.0,0.34617
37,37,nlpcc_dev_1068,NLPCC-Weibo,medium,mixed_script,48.94,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|social_marker,宋忠平：揭秘中国海军051型导弹驱逐舰（二）(分享自@蜻蜓FM),宋忠平 / ： / 揭秘 / 中国 / 海军 / 051型 / 导弹 / 驱逐舰 / （ / 二 / ） / ( / 分享 / 自 / @ / 蜻蜓FM / ),32,17,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.613289,0.790419,0.0,0.449216
38,38,nlpcc_dev_807,NLPCC-Weibo,medium,mixed_script,48.93,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,另一方面，沙特计划通过15年摆脱对石油依赖的经济改革持续推进，石油部长Alial-Naimi周日被撤换。,另 / 一 / 方面 / ， / 沙特 / 计划 / 通过 / 15 / 年 / 摆脱 / 对 / 石油 / 依赖 / 的 / 经济 / 改革 / 持续 / 推进 / ， / 石油 / 部长 / Alial-Naimi / 周日 / 被 / 撤换 / 。,52,26,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.722707,0.826304,0.0,0.38268
39,39,nlpcc_dev_1446,NLPCC-Weibo,medium,mixed_script,48.81,confirmed,modern|microblog|sentence_level|mixed_script|digits|social_marker,【2016红场阅兵亚尔斯弹道导弹登场】,【 / 2016 / 红场 / 阅兵 / 亚尔斯 / 弹道 / 导弹 / 登场 / 】,19,9,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.617896,0.775532,0.153846,0.645003
40,40,nlpcc_dev_1039,NLPCC-Weibo,medium,mixed_script,48.41,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,凤凰县政府给出了一份光鲜亮丽的账单，古城的门票收入从2013年的1.7亿元增长到2015年的3亿元。,凤凰县 / 政府 / 给出 / 了 / 一 / 份 / 光鲜亮丽 / 的 / 账单 / ， / 古城 / 的 / 门票 / 收入 / 从 / 2013年 / 的 / 1.7亿 / 元 / 增长 / 到 / 2015年 / 的 / 3亿 / 元 / 。,50,26,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.659764,0.832382,0.0,0.375248
41,41,nlpcc_dev_1080,NLPCC-Weibo,medium,mixed_script,48.41,confirmed,modern|microblog|sentence_level|mixed_script|latin|social_marker,入围的还有周杰伦，王凯，霍建华，@TFBOYS组合黄晓明等。,入围 / 的 / 还 / 有 / 周杰伦 / ， / 王凯 / ， / 霍建华 / ， / @ / TFBOYS / 组合 / 黄晓明 / 等 / 。,30,16,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.550004,0.768445,0.0,0.456972
42,42,nlpcc_dev_560,NLPCC-Weibo,medium,mixed_script,48.41,confirmed,modern|microblog|sentence_level|mixed_script|digits|long_sentence,但那幢楼在1889年被拆除，而现在最古老的蓝牌在拿破仑三世的故居，也是1867年的。,但 / 那 / 幢 / 楼 / 在 / 1889年 / 被 / 拆除 / ， / 而 / 现在 / 最 / 古老 / 的 / 蓝牌 / 在 / 拿破仑 / 三世 / 的 / 故居 / ， / 也 / 是 / 1867年 / 的 / 。,42,26,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.761912,0.883234,0.028846,0.338909
43,43,nlpcc_dev_155,NLPCC-Weibo,medium,mixed_script,48.4,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|social_marker,【《美国队长3：内战》打进Win10商店：多款游戏迎新主题】,【 / 《 / 美国 / 队长 / 3 / ： / 内战 / 》 / 打进 / Win10 / 商店 / ： / 多 / 款 / 游戏 / 迎 / 新 / 主题 / 】,30,19,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.669251,0.829213,0.0,0.369915
44,44,nlpcc_dev_1189,NLPCC-Weibo,medium,mixed_script,48.28,confirmed,modern|microblog|sentence_level|mixed_script|digits|latin|long_sentence,上周Qualcomm（美国高通公司）宣布与格力电器达成3G和4G中国专利许可协议，这预示格力将大举进军手机领域。,上周 / Qualcomm / （ / 美国 / 高通 / 公司 / ） / 宣布 / 与 / 格力 / 电器 / 达成 / 3G / 和 / 4G / 中国 / 专利 / 许可 / 协议 / ， / 这 / 预示 / 格力 / 将 / 大举 / 进军 / 手机 / 领域 / 。,56,29,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.796111,0.878055,0.115385,0.428919
45,45,nlpcc_dev_1133,NLPCC-Weibo,medium,mixed_script,48.13,confirmed,modern|microblog|sentence_level|mixed_script|digits|social_marker,【广西今年拟再造300万亩林地】,【 / 广西 / 今年 / 拟 / 再 / 造 / 300万 / 亩 / 林地 / 】,16,10,dev,platform_eval_v2_draft,,Competition data with standard train/dev/test split.,104,0.634285,0.793592,0.038462,0.514435
46,46,nlpcc_dev_1193,NLPCC-Weibo,medium,mixed_script,48.1,confirmed,modern|microblog|sentence_level|mixed_script|latin|long_sentence,MotoX渲染图中，最明显的是机身底部正方形的Home键，与此前曝光的MotoG新机设计一样，另外仔细观察会发现Home键侧边为麦克风开孔，机身正面没有Moto的Logo标志。,MotoX / 渲染图 / 中 / ， / 最 / 明显 / 的 / 是 / 机身 / 底部 / 正方形 / 的 / Home键 / ， / 与 / 此前 / 曝光 / 的 / MotoG / 新机 / 设计 / 一样 / ， / 另外 / 仔细 / 观察 / 会 / 发现 / Home键 / 侧边 / 为 / 麦克风 / 开孔 / ， / 机身 / 正面 / 没有 / Moto / 的 / Logo / 标志 / 。,88,42,dev,platform_eval_v2_draft,very_long|mixed_script,Competition data with standard train/dev/test split.,104,0.685572,0.830718,0.0,0.426461
